"(1, 151019789)","(1, 151019787)","(1, 151019785)","(1, 151019784)","(2, 151019789)","(2, 151019787)","(2, 151019785)","(2, 151019784)","(3, 151019789)","(3, 151019787)","(3, 151019785)","(3, 151019784)","(4, 151019789)","(4, 151019787)","(4, 151019785)","(4, 151019784)","(5, 151019789)","(5, 151019787)","(5, 151019785)","(5, 151019784)","(6, 151019789)","(6, 151019787)","(6, 151019785)","(6, 151019784)","(7, 151019789)","(7, 151019787)","(7, 151019785)","(7, 151019784)","(8, 151019789)","(8, 151019787)","(8, 151019785)","(8, 151019784)","(9, 151019789)","(9, 151019787)","(9, 151019785)","(9, 151019784)","(10, 151019789)","(10, 151019787)","(10, 151019785)","(10, 151019784)","(11, 151019789)","(11, 151019787)","(11, 151019785)","(11, 151019784)","(12, 151019789)","(12, 151019787)","(12, 151019785)","(12, 151019784)","(13, 151019789)","(13, 151019787)","(13, 151019785)","(13, 151019784)","(14, 151019789)","(14, 151019787)","(14, 151019785)","(14, 151019784)","(15, 151019789)","(15, 151019787)","(15, 151019785)","(15, 151019784)","(16, 151019789)","(16, 151019787)","(16, 151019785)","(16, 151019784)","(17, 151019789)","(17, 151019787)","(17, 151019785)","(17, 151019784)","(18, 151019789)","(18, 151019787)","(18, 151019785)","(18, 151019784)","(19, 151019789)","(19, 151019787)","(19, 151019785)","(19, 151019784)","(20, 151019789)","(20, 151019787)","(20, 151019785)","(20, 151019784)"
6.66587338832916,5.24830707129082,5.72868923455792,4.92756813595873,7.26074992713202,5.10442990288647,6.71441426061975,5.28108136206925,6.54012256810871,5.18779247856122,6.05480301753445,5.69810101826648,7.04377802010466,5.02548567274164,6.81286062861956,5.40453335257377,7.10902596398698,5.03052883225008,6.75763965828230,5.41380512407355,6.86972711607244,4.88840556577936,6.50792516504636,5.43748171138739,6.84712208042587,4.72726933884958,6.75379074235736,5.09375753249561,7.40313463169788,4.89455316242474,6.29362050080565,5.27881143273575,6.70399819580788,4.75895609806640,6.04441424417482,5.19191315001626,6.48587003736907,4.53903912924822,5.87640056790240,5.25668576311123,7.03993657341628,5.07536825641918,6.13384232457159,5.71825481366125,7.06452140854506,5.10819903376989,6.58412211137762,4.85350703477083,7.00982286680514,5.21813053915491,6.11940365545461,5.30677733118589,7.59773295623395,5.13104292091946,6.10008636698070,4.80226901250755,6.63862763586165,5.16075010746627,6.29465051286050,5.40283326706453,6.67249920050575,4.86054712089901,6.03786206770575,5.14992212751358,6.75855625940966,5.34766604724008,6.32292997029444,5.36454869593191,7.10172824440110,4.98051302226209,6.15026908952993,4.84655204303403,7.28695834824287,5.03590807785270,6.63070883510376,5.24059686012474,7.24485785967052,4.51063379463248,6.67277772769516,5.44315180197948
7.61722298068767,5.74003412830233,7.11549858085287,6.10521614852924,8.46128916065565,6.40817262795445,7.10219432460567,5.68920341310570,8.42601832372253,5.79110551170576,6.86996081329778,5.90713236092094,8.19946865187845,5.59626581615746,6.16180421302161,5.90967910467821,8.05781569375961,6.18964822267003,6.85149551417870,6.03890826516029,8.63073445556510,6.15363757003531,6.73228189057798,6.17818902335616,8.28260281356246,6.01973590926869,6.22617026178091,5.87601558888448,7.86862516115465,5.75355784245993,7.12075452150259,5.95211706918692,7.93290300906782,5.40748078808792,7.03852795191370,6.00305743295983,7.95768672344162,6.09939011296157,6.66048060706805,6.37418092032859,7.59378427254502,6.08204575783062,7.05890242044570,5.85224788726254,9.00590433401168,5.94375939891822,7.30151137891440,6.25464737658312,7.99698426692699,5.98693317573381,6.46908014167512,5.96107762010650,8.33688181900017,5.82161105422723,6.53510529579597,6.31025891434509,8.61433841841010,6.11610494580489,6.99591919271287,6.27738975017001,8.79419584976827,5.85040951365249,7.06341873288625,5.88547994486524,8.86651895615386,5.94431437827912,7.23529244121818,6.26837654216967,8.97070881950738,5.60860004830115,7.26141282973511,5.79202594700954,8.69535731239108,5.78446191772689,6.80003399848288,6.05495905835540,8.17586608982199,6.45733200867197,6.94356191469459,5.89644005385526
8.72727523683626,6.41632204251889,8.10935520685242,6.83907235455807,9.21020986421796,6.07734077682584,7.77968253721311,7.23674635829352,9.03314994812499,6.25145150168502,7.31604161052984,6.70626475579729,8.79325956164306,6.14512652797765,8.40764144677656,6.97652045027240,8.93572623598202,6.17369941300736,7.92985567184992,7.15732604477984,9.07448320410069,6.23851717582402,7.77837210110111,6.90545931019762,9.09751725968324,6.33853786094188,7.35360317023437,7.07916872175547,9.14913348927258,6.28978913469951,8.10546425237230,6.97731880429652,9.08300827862282,5.80191524477900,7.32925541741261,7.31531838701046,8.59559389831794,5.94833682025159,8.04292342378998,7.46680083934544,8.65131406214464,5.91076707872193,7.77726253973430,6.89514306956701,8.44484128085915,6.30703824729006,7.62351426151383,6.15034438986480,8.16002815424271,5.98531492046302,7.42216648411356,6.99254374496479,9.07872989566183,6.44379995982169,8.78221664034158,7.02117783647701,8.37686157089419,5.79022289228582,7.80814600699476,6.75766579719504,9.12461564870892,5.73691812999425,7.97521470450710,6.99055652863634,8.85882047889373,6.55132086252658,7.20377841681671,7.11247728594647,8.41063673736639,6.24798756994967,7.94475874157680,7.05441721503564,8.67047930889893,5.75451633876574,7.77285631628446,6.68713881717616,9.07585272868124,6.19728066889055,8.85089589681927,7.08033574292581
9.42412154155544,7.36699645366464,9.32511901585445,7.95472605276002,10.8720622259534,7.49777694334181,8.76837198141106,7.45448938271309,10.7744236082931,7.20628502339079,8.71113380436183,8.13367458553057,10.8163611788464,7.48454924854526,8.60224838727143,7.52635414062607,9.50466109923518,7.35547629826506,8.22815081587340,7.59603323123945,10.8841033936229,8.02095567681780,8.72089486632945,9.04954457310060,10.3772808113098,7.77128875194394,8.82416654471955,8.05938349654647,10.6907980942635,7.11078175656762,8.87296651410765,7.64686841462582,10.2142568765038,6.98298875267661,8.83144556417133,8.27420870020048,10.1538458970578,7.78978997376664,8.83451010768714,8.45070977407709,10.5054293352082,7.40813804338663,8.41584651479707,7.74922408917912,10.3536471593951,7.71840161491102,9.41417234211736,7.09688962623955,10.2475500799686,7.13572546519716,7.81172130843065,8.64073485368815,10.2615527848105,7.40008977689114,8.83100716796911,8.39474959871999,9.35312145195478,7.12452116581868,9.10956998912465,8.12515216324204,10.8139867489133,7.10180778204531,9.94043031418543,8.00199960339874,10.6644607392433,7.13365176193931,8.79959775368272,8.06045846834341,10.6829620544657,7.45198446998911,8.73089809364958,7.56344013999031,10.3184841120329,8.15101134278600,8.36953524112119,7.99656754756410,10.4031207929274,7.90960135325253,9.71587386206733,8.21730812966334
11.3691826067189,8.87738235964235,10.6629189599184,8.48837737549185,11.7496379153751,8.84185838223278,10.0362460710894,9.71506657933260,12.2572565885327,9.19126030274941,11.3132230756652,8.53491495450116,12.5020406004971,9.49341813484617,10.4844796058604,9.65297550881683,12.7179238593570,9.17488770686280,11.6215132777201,9.72258423867909,12.7274398934012,8.50126895947323,12.0189989256921,9.69244042738732,13.7316357374538,9.26895060246437,10.8382799695230,9.52398942629175,12.5614380072972,9.18237323396765,11.1130255544941,9.70695015009043,12.3596015393015,8.13199756452055,11.3499595016307,9.52192478576670,12.2202179495058,9.76306936693406,9.80925420487595,9.37433613904351,12.7616032654310,8.02889631867344,11.1455542751913,9.52905160216900,13.9802501788516,9.32072539155443,10.8869489836375,8.89913852559498,12.8479173967747,8.74017642685097,10.3869864172894,8.90143215676765,12.7756627546280,8.88389302888697,11.2883502463726,9.38760043800027,12.5897707830084,8.94627503517868,10.7354624312083,9.99603408498071,11.2897917300436,9.17573385975559,11.2308596360046,9.25975008860445,13.3705364194435,8.96072323686489,11.0753814724723,8.84856270344623,12.1388136452582,8.75671425421529,10.2187730374800,8.36707657878155,12.0285001866855,8.94511816709425,11.0753118065576,9.59852413838850,10.8496604939948,8.81788481931307,11.0707796662579,9.08209852439295
12.2713864327790,9.12749731165861,11.7396333265294,10.2059911874738,13.4193744529720,9.61524344653635,10.7611511235600,9.73133387794949,12.1749777017583,9.23210112081337,11.6123045415309,10.8416308375099,15.0512463743163,9.50303358169499,10.6604464464104,10.4369697375059,11.7290720109451,8.46829567650178,11.6175695701952,10.2082725426073,12.0399038923129,9.10233812731458,11.5637091962358,10.5184802377054,13.5689145599687,9.17232949729897,11.4479048627382,10.2934875894915,13.0198527584904,9.73426452178192,11.7122604319605,9.12456200095350,13.4865787328153,8.90313294941303,10.6485882285481,9.75247932495275,12.9408373246675,9.65660533965427,11.6876584702865,10.4230437648600,12.7017931918704,9.38055848149669,10.9050811532939,11.0211552683483,12.5398408345120,9.01684860610332,11.7775953904584,9.78215294218425,13.2230123360489,9.25471565010336,11.7060587114889,9.27053159232065,13.2920092430958,8.58002707367915,11.7453701725324,10.2268630402097,12.7288923595861,9.00723486032769,12.0290435744726,10.5872753780194,12.5659010583623,9.21279955013369,10.8559095318089,10.3144007977481,12.5891137662480,9.16619884670110,10.8992753040587,9.54406679679141,14.1044285184140,9.55162167214609,11.9241408975027,9.58088093807493,12.4276147845679,8.46519027950367,12.8825371292936,9.96049912518501,13.0764398171992,9.21811518915607,12.2261732814399,9.49065068344186
16.1768440816878,11.8806791859713,15.3724366219012,12.9063074065532,18.1711291394115,11.7177908410169,14.1025038475653,12.3699310237190,17.0829418743810,12.7445591676535,14.5200350651196,12.2277542274707,14.8373515612239,11.1108640131718,14.4587597222196,12.4256531765263,16.6842026486389,12.1302465517168,14.4880963674835,13.1188047783214,19.0281871725038,11.3335992827930,14.7416822557915,13.7808952272907,17.4732999856532,12.0336028232097,15.4554825226185,13.5871034984440,17.3946823397214,12.0076948681961,14.4446845960405,11.7872919327584,14.8366129925839,12.2114453579401,14.3549576141877,12.6861419967906,16.8605635819470,12.1504700084723,14.5275622048022,13.2543478846991,16.8545027194788,11.7503093254439,14.2964029087758,12.5528286537271,16.5579601667659,12.6295281392247,13.7742672787235,14.0256721038415,16.7205468696436,11.5394616818165,15.2394955101304,12.3251270441399,16.5349120131802,11.3932486882598,15.3657559921639,13.0369998672723,18.1712747942481,11.9446624567831,14.0185893331332,12.5796320623887,17.4076512267309,11.4130988321090,14.8045077619347,11.7569968190709,15.5869643895503,11.9499007625299,15.6398550812548,12.7501195993897,17.7790523531419,12.8093276574868,15.1574980080471,13.2461089820087,18.2371480075769,12.7867923670790,14.4229014270400,12.7481143113936,18.0634468774357,11.4667625138634,15.0300667010472,12.4412647596298
18.1486570241567,13.0027643712322,16.3334290583825,13.6417721641686,17.4306709200059,13.0815298024545,13.5456562874461,13.0021470545093,16.8083102950934,13.7959407954805,16.1153323556056,13.8221562150164,17.0580473046584,13.1235059513081,15.3310706596464,12.9803414918512,17.0521623104793,12.2142963318861,14.6160120878126,12.9699126040750,16.8009315753942,12.1604904665475,14.5408885153378,12.7625471605031,17.9102815028765,13.2451073148036,13.8811068844290,12.6150402647186,18.8600962506118,12.3809927585489,13.2497924454861,12.4897107116871,18.2099281914490,12.7359835524083,14.5815415766229,13.6566150144388,17.5890438105159,12.6342183701862,14.8363427810889,12.8710909923995,17.3723461508852,12.0980048394840,15.8892416757014,13.0559980148882,17.5500023450935,12.3589265488023,12.9236355099243,12.4720384518582,17.1816126662688,13.1033030172091,15.7833551640926,12.9414015876545,17.6496160378087,12.6270344909160,15.8633494522527,11.8383571918006,17.3485213081864,12.2803204633120,15.9395639277325,12.9447277553269,18.2030400856022,12.4131999838301,14.6505211678109,12.8675025942755,19.1910267124633,12.0635062065933,15.4393597728531,12.8395866319152,17.5330235743826,12.5888899910879,16.0194660199898,12.6327359788397,17.2272646460303,12.4256511462167,13.5414846291111,13.3142174523925,17.1151813864106,12.8799361134993,15.4537860285279,13.3597569890093
21.9061577659638,15.9188026073384,18.1153052980774,15.8055144288005,22.1860355530332,15.3587263084989,18.0457959551908,16.8422249434386,21.6478675184475,14.2113141740516,19.4342346922204,16.3836476979292,21.4915983177749,15.7397172948498,20.0467584147314,15.5766536412338,21.1046015816831,16.0729388243471,18.1338394392565,16.4602198034781,22.1716777873097,15.0277842015814,18.3355612844806,16.4312001492576,18.4815294940411,14.7223395647388,17.6264946920786,15.7893608468238,20.9931832843844,15.7207463467485,18.8113630855022,16.4552105900562,20.0093836671556,14.3736330705917,17.7428867911112,16.0323622147556,20.7888114822770,16.7312319798972,18.5201270726937,16.8906705938004,21.4952897343680,14.7225115707759,17.5850061116636,15.8890365686693,21.9255087389946,15.2456807499102,18.2179981615747,16.4629175305274,21.1059411202188,14.0960414999327,19.0284862160587,15.6381414826380,22.7777064397117,15.1465379287584,17.8290931885839,16.8959226479755,21.7942952962380,15.2087267404284,18.7824025933775,15.0189807085895,20.3574570294408,16.1186836833775,18.1344236403258,15.8589031385772,21.9189726136698,14.7774635006412,18.6572745944495,16.8519386098003,20.8976900319195,14.3143550883113,19.2387847670996,16.5987086716673,21.7932213717560,14.9726973005024,19.4499265905897,17.6408662650820,23.0283173741539,15.3839585561663,17.2695366108614,17.8404666149628
23.0336068281899,17.2711847325394,21.3188220817421,19.5181338932760,23.8589784047493,17.8800367898770,20.6210019029584,20.3564828727102,24.0536826250547,18.3288301339492,20.4635803144986,18.3228623365058,24.5648108710069,19.2303665295713,21.2707896788499,19.5406107639770,24.2495003257635,17.6246394591163,20.9417020265528,18.1347278302536,23.5919943549474,18.8671639787660,18.8724098585469,17.0004019587623,25.3566575061477,18.6045094404397,22.0198150884176,19.3130285635369,23.7011375528340,17.2663088053320,21.2001476137127,18.4334973030824,24.9171289156056,19.3849779935718,20.9036027121054,18.2781473728162,23.5416792124730,18.3064182884572,21.2459589230676,18.8512291096764,24.7559883421844,16.9645222855580,22.0634839471899,17.3933514847177,26.3193197206386,18.1201598159107,20.0314818346728,19.6179765171360,26.0401708415454,18.2862787141756,21.5952780473262,17.5974242960061,25.7452734749220,16.5307654701535,19.5140368438672,18.1213645542252,22.4380790223663,17.4234598284114,18.0666212711948,17.7129774596204,23.2114636216400,17.0982430473977,21.5972315032632,19.4188671697254,23.8272769390829,15.9640627740123,19.5417908014555,19.5749878425197,22.5194526357221,18.2419010687145,20.8693028037146,19.0160776126483,23.3653571409074,17.1164867870495,20.2140888073941,19.2497774365904,22.8117532867954,16.2744509965993,19.6003745316572,18.1130993163274
